researchTitle,program,dateStart,PrincipalInvestigator,dateEnd,coPI,bio
Adolescent Apprentices in Germany,CULTURAL ANTHROPOLOGY,1994-08-01,Alice Schlegel,1997-01-31,Alice Schlegel,"Schlegel 9318995 This projects supports the Research of a cultural anthropologist from the University of Arizona. the project tests a hypothesis of adolescent behavior: that adolescents who spend more time with adults differ in measurable ways (display less aggressiveness, competitiveness, and anti-social behavior) from those who spend more time with peers. The project will study adolescent apprentices in Germany, a country with a well-developed system of apprenticeship. A sample of industrial apprentices will be compared with a matched sample of school attenders in relations with family, peers and unrelated adults for various aspects of adolescent behavior. The subjects will be observed in their natural settings, the classroom and workplace. Questionnaires and tests to measure their relationships and attitudes will be administered. This research is important because adolescent violence is a major problem in contemporary society, and increases in our understanding of its causes will help us control it. In addition the project is timely since the German in American. This study should help us assess its applicability for our nation. ! ! ! F E Times New Roman Symbol & Arial 1 Pres Elite 5 Courier New ? ? "" h j j 7 DEBRA TERESA WHITE DEBRA TERESA WHITE"
"Doctoral Dissertation: Pregnancy and Diabetes in Pima Women: Ideas of Risk, Treatment Efficiacy and Diabetes Prevention In and After Pregnancy",CULTURAL ANTHROPOLOGY,2000-04-01,Ana Ortiz,2002-03-31,Ana Ortiz,"This project will investigate high rates of diabetes among the Pima, a group of Native Americans living on the Gila River reservation. The researcher will focus on why the Pima participate in or reject biomedical treatment and prevention, and how they seek to combine biomedicine with their own desires for self-determination and cultural identity. As the incidence of diabetes is on the rise in this population, biomedical treatment participation and completion continue to be poor. The research will document Native American health seeking behaviors and illness interpretation in a context of pluralistic therapy systems, as well as in terms of their specific social and political economic situation in American society. The research will focus specifically on Pima women (mothers and pregnant women); of women over age 35, approximately half have diabetes."
IPG: Collaborative Research: A high-resolution analysis of unique paleoenvironmental data from key hominin sites in East Africa,Biological Anthropology,2012-10-01,Andrew Cohen,2016-03-31,"Owen Davis, Rene Bobe, Jeffery Stone","The possibility that human evolution in Africa has been strongly influenced by Earth's climatic and environmental history over the last several million years has been an important question at the forefront of paleoanthropological research. One fundamental question is: can any of the potential envionmental drivers of evolutionary change be reconstructed with enough precision to allow us to relate them with confidence to the episodes of speciation, extinction and cultural evolution known to anthropologists, and thereby test their relationships in time and space?<br/><br/>This team of paleoanthropologists and earth scientists plans to analyze climate and other environmental histories to provide direct tests of key hypotheses linking environmental history and mammal (including early human) evolution by collecting and analyzing detailed paleoenvironmental data at three key anthropological sites in Africa. They will collect continuous paleoenvironmental records by drilling long sediment cores from ancient lake beds in the northern Afar, Ethiopia (~3.8-2.9 million years ago-Ma), the Baringo Basin, Kenya (~3.2-2.35 Ma), and the Turkana Basin, Kenya (~2.3-1.42 Ma), and relate these records to the outcrops in the same basins that contain early human and other mammal fossils, as well as stone tools in the younger time periods. As a group these basins contain some of the most critical evidence for human evolutionary history in Africa. Although past investigators have reconstructed climate and other environmental histories from the outcrops in which the fossil humans and artifacts have been found, such environmental records are highly discontinuous due to the nature of the sediments where the fossils occur, and are unsuitable for many of the most informative geochemical records available today because of the weathering that has affected outcropping sediments. Drilling lakebeds near the fossil sites gets around these problems, because lake sediments accumulate much more continuously, and because drilling into the subsurface allows unweathered samples to be collected Funding for the drilling costs for this project has been secured from other sources: with the IPG funds the team will analyze the cores to generate quantitative and high resolution records of changes in temperature, precipitation, vegetation, fire and volcanic activity and other factors which may have influenced human evolution.<br/><br/>The primary research goal is to obtain long cores from these basins, each of which span critical intervals in human evolution and are close to hominin fossil and archaeological sites. The researchers will apply state-of-the-art paleoenvironmental and paleoclimate methods to these cores to assemble high resolution records covering much of the past four million years of East African environmental history. The team will then evaluate existing hypotheses and generate new hypotheses linking climate history to early human physical and cultural evolutionary adaptations. The paleoenvironmental and paleoecological data collected from the drill cores will be linked directly in time and space to the nearby fossil human, mammal and stone tool records by way of the numerous volcanic ashes present in both the cores and outcrops, along with other dating techniques. By comparing the new records to similar records from nearby ocean sediment cores the researchers plan be able to distinguish local from global drivers of environmental change and in the process test a series of hypotheses linking key events in human evolution with climate and other aspects of environmental history. Finally, the team will use these new, combined paleoenvironmental and paleoanthropological data sets, combined with novel modeling techniques to better understand how landscape and climate change across various scales of time and space may have affected the availability and predictability of critical ecosystem resources upon which early humans would have depended. <br/><br/>This project will greatly expand our understanding of African climate history and will be an opportunity to invigorate interest in human evolution and its relationship to climate with the US and African public. The project will train many American and African students during its field, analytical and internship/synthesis phases, and will generate numerous informal science learning opportunities through our collaborations with the National Museums of Kenya and Ethiopia and the Smithsonian Institution."
SGER: Scientific Drilling for Human Origins: Exploring the Application of Drill Core Records to Understanding Hominin Evolution,"ARCHAEOLOGY, Biological Anthropology, GLOBAL CHANGE, COLLABORATIVE RESEARCH, SEDIMENTARY GEO & PALEOBIOLOGY",2007-08-01,Andrew Cohen,2010-01-31,"Roy Johnson, Craig Feibel","PIs propose to investigate how continental scientific drilling can be used as a tool in understanding the environmental background of human origins. This new research direction in merging earth science and paleoanthropology will involve obtaining sediment drill core samples from lake beds located on-land, close to areas of critical importance for understanding human evolution. Their efforts will be focused around critical time intervals for human origins during the last 3.5 million years. In this first phase of research, they will obtain critical site-survey and subsurface data for four key localities in Kenya and Ethiopia, essential to the success of a future drilling program, to be funded by a later proposal. They also request partial funding for a drilling workshop, to consider the technical and scientific opportunities and challenges posed by each of the sites under consideration.<br/><br/>Prior researchers have asked the key question of why evolution of humans and their close relatives displays a pulsed pattern, with well-defined periods of extensive speciation or extinction, cultural change and geographic expansion, interspersed with long periods when relatively little change seems to occur. Is this the result of broad forcing effects of either directional environmental change (climate, etc.), the result of changes in the variability of local or regional environments, or some yet-unrecognized mechanism. These efforts have proceeded either by correlating broad-scale patterns of human evolutionary patterns with the global beat of climate variability as recorded in the continuous records of deep-sea sediment cores or, by correlating regional shifts in the fossil and archaeological record with more local patterns of environmental change, inferred from outcrop records of ancient soils, lake beds and non-hominin fossils. PIs argue for a new research direction linking the earth science and anthropology communities in addressing this central question about human origins, combining the strengths of both of the approaches above, and avoiding some of their inherent weaknesses. Their plan promotes a concerted effort to obtain drill core records from near-continuous sedimentary sequences located close to areas of critical importance for understanding hominin evolution, focused around critical time intervals for their key question above. Drill cores will provide a record that will vastly improve understanding of environmental history in the places and times where various species of our near-relatives lived. Obtaining such records from on land will provide a more detailed and resolved record than what we can currently infer from deep sea core records. Finally, because the largest number of critical events in man's evolutionary history occurred in Africa, such a drilling campaign should start in that continent. <br/><br/>Few scientific questions can be more central to humanity than understanding where we have come from as a species, and how our environment has shaped our biological and technological evolution. Results from this proposal will pave the way for a new direction for helping researchers address these questions and will foster a new avenue for earth science/anthropology collaborations. <br/><br/>This international drilling program has important science training opportunities for involving early-career American and African scientists in all aspects of the project. Several students will be involved in the seismic site survey exercises leading up to the workshop, and some students who are likely to join the program in post-graduate work would be able to attend the workshop. This award is co-funded by NSF's Office of International Science and Engineering."
"Excavations at the Middle Paleoithic Site of La Quina (Charente), France",ARCHAEOLOGY,1991-02-01,Arthur Jelinek,1995-01-31,Arthur Jelinek,"With National Science Foundation support, Dr. Arthur Jelinek will conduct three seasons of archaeological research at the site of La Quina which is located in the Charente region of France. This important Mousterian site has been the focus of this group for several years and the results to date well justify continued excavation. The site itself contains a series of stratified deposits which are extremely rich in both faunal and cultural remains. Human skeletal material has also been recovered. To date, approximately 6,000 lithic objects and 11,000 bones have been catalogued. Over the next three field seasons, the team will expand the excavations in all levels. Several approaches will be attempted to provide absolute dates for each level and archaeological materials will be analyzed to shed insight into Mousterian cultural and subsistence practices. Mousterian culture dates from the most recent part of the Pleistocene (Ice Age) and is associated with Neanderthal peoples who were the immediate predecessors to modern humans. In recent years, these Neanderthals have been the subject of intense archaeological debate. Some have argued that this group acted in ways significantly different from the succeeding Upper Paleolithic groups and lacked the capacity for modern culture. Others argue that Mousterian industries and the behaviors they reflect are quite complex. Unfortunately, little well collected data exists to permit examination of the issue and in this context the site of La Quina is particularly important because of the rich cultural materials it contains. The large faunal assemblage should permit reconstruction of Mousterian hunting techniques and demonstrate how these changed and developed over time. This research is important for several reasons. It will yield data of interest to a large group of archaeologists. It will provide insight into the background from which physically modern humans emerged and shed light on the process which led to this development. Because Dr. Jelinek includes many students in this project, it should aid in the scientific recruitment."
"The Economic, Social, and Political Reorganization of Late Prehistoric Pueblo Communities in the Silver Creek Area, Arizona",ARCHAEOLOGY,1995-08-01,Barbara Mills,1998-01-31,Barbara Mills,"With National Science Foundation support, Dr. Barbara Mills and her colleagues will conduct two field seasons of archaeological research at sites located in the Silver Creek region of Arizona. Archaeologists believe that this area marks the location of significant and far-reaching changes during the late prehistoric period in the American Southwest. There is strong evidence from settlement pattern data to support the idea that large groups of peoples moved into the region between 1000 and 1400 AD. The region therefore has the potential to shed light on the causes and consequences of population reorganization, including the processes of migration, aggregation, integration and dispersion. Relatively little archaeological research however has been conducted, and Dr. Mills' work will remedy this situation. Over the course of two field seasons she will excavate three sites representing different time periods between the 11th and 14th centuries. She will collect ceramic and tree ring samples to refine chronology. She will examine demographic trends and note changes in social and economic organization. She will also compare and synthesize cultural and paleoenvironmental data. The membership of small-scale agricultural societies throughout the world is often fluid as individuals, households, groups of households and even whole communities change residences. These moves vary in their causes, the distances moved, their permanence and ultimately in their effects. In some cases new residential sites are colonized through village fissioning and connections are maintained with the original villages through extension of existing social networks. In other cases, portions of the population are incorporated into preexisting communities and social, political and religious institutions established or extended to integrate the host and migrant populations. In both cases, changes in integrative mechanisms may ensue. Understanding changes in community organization, especially those processes relating to community integration is a key to understanding wider economic, social and political changes. Dr. Mills Silver Creek study provides an excellent opportunity to study these processes over an extended period of time. This research is important for several reasons. It will shed new light on the prehistory of the United States and provide data of interest to many archaeologists. Given the fluidity of populations in today's world, the work will increase our understanding of how new social entities emerge and are maintained."
Doctoral Dissertation Improvement: In the Aftermath of Migration- Modeling the Social Consequences of Classic Period Migrations in Southeastern Arizona,ARCHAEOLOGY,2003-11-15,Barbara Mills,2005-10-31,Barbara Mills,"Under the supervision of Dr. Barbara J. Mills, Anna Neuzil will undertake research to understand the scale and impact of Classic period (A.D. 1200-1450) migrations into southeastern Arizona. She will focus on the Safford Basin and Aravaipa Creek areas, which have been relatively unstudied by southwestern archaeologists. Yet, many scholars have speculated that these areas experienced an influx of migrants from the north during the Classic Period. Neuzil's research will look at prehistoric ceramics, domestic architecture, and the structure of space on the surface of 30 sites to determine 1) the scale at which prehistoric migration into these regions occurred, and 2) the effect of migration on the expression of identity by both migrant and indigenous populations.<br/><br/>Research on migration in the archaeological record has advanced considerably in the last decade, and Neuzil's project will take the understanding of migration an important step further. Migration is known to have played an important role in many regions of the Southwest, but very little of this research has addressed the ways in which people with widely disparate cultural backgrounds dealt with each other following migration. Neuzil's research will focus on four main types of evidence to identify and establish the extent of migrants in the archaeological record, and understand how the identity of migrants and indigenous populations changed following migration. Unpainted ceramics and domestic architecture will be examined for evidence of differences in their manufacturing techniques, which have been demonstrated to differentiate between populations with distinct backgrounds, such as migrant and indigenous populations. Similarly, the arrangement of space at the sites examined will be analyzed to investigate differences between migrant and host populations. Previous spatial analyses have shown that space can be quantified and interpreted to reflect the unique backgrounds of people and groups. Decorated ceramics will be used to place sites in a temporal framework, and examine how individuals and groups expressed their identity in the stylistic designs of these vessels. With these four types of evidence, Neuzil will not only advance the understanding of this poorly studied area, but also contribute to migration research with a potentially broad interdisciplinary impact.<br/><br/>This research will have two main areas of impact beyond its contribution to the archaeological understanding of the Safford and Aravaipa areas and migration processes. First, the results of this research will be presented to Native American tribes who have an interest in the area. Although this research is not intended to demonstrate cultural affiliation between the groups that inhabited this area in the past and any specific tribe, the results of this research will be of interest to Native American tribes as they establish an understanding of the overall demographics and population dynamics of the Southwest from an archaeological perspective. Second, public outreach, particularly in terms of the dissemination of this research to the local Safford and Aravaipa communities, is an important aspect of this project. Neuzil will engage in public presentations and consultation on the development of exhibits at local museums, and disseminate publications written for the public throughout the course of this project. Furthermore, Neuzil will gain training in field and analysis methods important to her development as an archaeological scholar."
Dissertation Research: Community Organization on the Chacoan Frontier,ARCHAEOLOGY,1996-07-01,Barbara Mills,1998-06-30,Barbara Mills,"Under the direction of Dr. Barbara Mills, MS Sarah Herr will collect data for her doctoral dissertation. She will conduct archaeological research in the Mogollon rim area of Arizona and supplement this with the analysis of museum collections. Her focus will be on the period between the 10th through 12th centuries AD. Kivas are large, usually well constructed partially underground structures with wooden roofs and were used for religions purposes. Because they serve as a central focus for a community, by determining a kiva's size, care expended on its construction and its internal organization it is possible to gain insight into the structure of the community which built it. MS Herr, will coordinate her work with the University of Arizona field school and excavate the kiva at the Hough's Great Kiva site. She will study the ceramics and other materials collected and augment these data with analyzes of materials from other Mogollon rim sites. On this basis she will reconstruct the social organization of the region and compare it to that in neighboring areas. The Southwest has long served as a focus for archaeological attention because of the imposing ruins present and the roads which linked many of them. Clearly prehistoric people achieved a significant degree of social complexity in a harsh desert environment. Most researchers have concentrated their efforts on the largest sites and the areas which contain them and relatively work has been done in what appear to be underpopulated regions. Thus little is known about how communities in these latter areas functioned and how they were integrated (or not integrated) into more `central` areas. The Mogollon Rim has traditionally been viewed by archaeologists as a peripheral area and it forms the focus of MS Herr's study. She has proposed an original perspective - frontier theory - from which to view this area and to examine its relationships with more `central` regions. This work will provide the data to test her idea. This research is important for several regions. It will provide data of interest to many archaeologists and shed new light on the American past. It will serve to develop the application of a very powerful theoretical approach and will assist in the training of a promising young scientist."
"Ceramics, Colonialism, and Household Practice at Zuni Pueblo, New Mexico, A.D. 1300-1900",ARCHAEOLOGY,2002-06-01,Barbara Mills,2005-05-31,Barbara Mills,"With National Science Foundation support, Dr. Barbara Mills and her colleagues will conduct one year of laboratory analyses to investigate the effects of European colonization at Zuni Pueblo. Zuni was the first Pueblo area reached during the Spanish entradas of the 16th century and is an excellent example of a Native American community lying on the frontier of colonialism. Like other Pueblo areas, population decline, settlement coalescence, religious repression, economic oppression, and the adoption of new foods and technologies all took place at Zuni while under Spanish, Mexican, and American governance. Although the Zuni area has enormous potential for looking at the processes of colonialism from an archaeological perspective, past work was conducted prior to modern systematic methods of excavations and analysis. A recent excavation project conducted by the Pueblo of Zuni has resulted in the first systematic collection of materials from one of the contact period Zuni Pueblos - Zuni Pueblo itself. Zuni Pueblo (Halona:wa) has been continuously occupied since the late 13th century and it provides a unique context to investigate the processes of colonialism in a Native American community. This project will support analyses of the large collection of ceramics, supplemental funding for botanical analyses, and travel for the faunal and botanical analysts to come to Arizona to participate in an advanced seminar on the project. Dr. Mills's research will include the analysis of ceramic assemblages from over six centuries of occupation at Zuni Pueblo, focusing on the following research objectives: (1) establishing a baseline chronology for the project; (2) investigating the timing and rate of change in Zuni diet and cuisine; (3) evaluating the impact of colonialism on the organization of household labor; and (4) exploring how Zuni identity was constructed and maintained through material culture. Intensive ceramic analyses will be conducted over one year, including analyses of production technology, changes in vessel forms, chemical analyses of food residues, and design analyses. The ceramic data will be compared to the results of pollen, macrobotanical, and faunal analyses for a comprehensive analysis of how diet and food preparation changed through time. This research is important for several reasons. It will provide the Zuni people with information about their past that is only accessible through archaeological research. It will also provide important insights into how cultures in contact interact, including changes in diet and cuisine, labor, and identity."
"Dissertation Research: Household Ritual, Ceramic Figurines, and Gender in the Hohokam Regional System",ARCHAEOLOGY,2002-02-15,Barbara Mills,2004-01-31,Barbara Mills,"Under the direction of Dr. Barbara Mills, Ms. Susan Stinson will collect data for her doctoral dissertation on the Hohokam archaeological region of the Greater Southwest USA. Her research addresses ritual within prehistoric households by determining the function and subsequent discard practices for ceramic figurines. These small figurines were used in Hohokam houses from 300 BC to AD 700 and they often were placed in household trash when discarded. Approximately 1300 figurines in museum collections will be analyzed as part of this project, and most of these were recovered from the two large sites of Snaketown and Grewe in southern Arizona. Hohokam researchers have previously assumed that these figurines were used in community-wide ceremonial activities associated with ballcourts that are similar to those in Mesoamerica. Ms. Stinson will determine whether the figurines were instead part of domestic ritual by testing three different hypotheses for their use: (1) they were used in healing and curing ritual, (2) they were used in ritual designed to promote a connection to deceased relatives (ancestors), or (3) they were used as children's toys. In order to determine figurine function, patterns of construction material, form, wear or damage, and the location and manner of disposal will be analyzed. <br/><br/>In addition to these analyses, Ms. Stinson will determine who the producers of these figurines were by examining fingerprint impressions left on the wet clay surface of the figures before they were fired. These fingerprint analyses provide a direct link between the manufacture of figurines and gendered roles within the household. Ridge counting will be used to distinguish between children and adults, and males and females. A ridge count is an objective, quantitative measure of the size of the fingerprint pattern, and it is recorded by counting the number of friction ridges within a certain specified area. Ms. Stinson has already tested this technique on both archaeological ceramics and a set of modern prints from an extended family in the Philippines. This fingerprint technique is new to archaeological research and has the potential to revolutionize how gender roles are assigned in prehistory. This project also contributes to research on households, figurines, and ritual and gender in the household. It tests hypotheses about figurine function in an archaeological region of the American Southwest that have been assumed, but never scientifically tested. The project also assists in training a promising young scientist."
